id,feature_name,feature_type,lon,lat
8530,Avent Ferry Rd at Brigadoon Dr,Bus Stop,-78.6890797296864,35.7702971483178
8535,Thistledown Dr at Gorman St,Bus Stop,-78.6994159555513,35.7561707221719
8536,Thistledown Dr at Lethbridge Ct,Bus Stop,-78.6956056659338,35.7549715178205
8539,Lineberry Dr at Pauls Penny,Bus Stop,-78.6917690862211,35.7502635422004
8540,Lineberry Dr at Leadenhall Way,Bus Stop,-78.686802362999,35.7500076762188
8546,Sierra Dr at Rabbit Run,Bus Stop,-78.6640619283998,35.749409957121
8556,Thistledown Dr at Gorman ST,Bus Stop,-78.6997000441666,35.7563814248639
8558,Gorman St at Walnut Creek Greenway (NB),Bus Stop,-78.6942245223541,35.7652653393871
9096,Avent Ferry Rd at Trailwood Dr,Bus Stop,-78.692256160853,35.7686408219277
8564,Avent Ferry Rd at Centennial View Ln,Bus Stop,-78.6830769273449,35.7733509279571
8565,Avent Ferry Rd at Centennial Pkwy,Bus Stop,-78.6784810196888,35.7769052458858
8566,Avent Ferry Rd at Western Blvd,Bus Stop,-78.6764304569493,35.7795782935646
8569,Western Blvd at Hunt Dr (EB),Bus Stop,-78.6564348507519,35.7745502218591
8573,Peace St at Glenwood Ave,Bus Stop,-78.6475919087569,35.7887068352159
8596,Gorman St at Lexington Dr,Bus Stop,-78.6869471822025,35.7859216304582
8626,New Bern Ave at N Lord Ashley Rd,Bus Stop,-78.6068389950697,35.7795550083666
8645,New Bern Ave at N Peartree Ln,Bus Stop,-78.5923651936849,35.783456575462
8647,New Bern Ave at Dickens Dr,Bus Stop,-78.6003769326324,35.7801208999315
8650,New Bern Ave at N King Charles Rd,Bus Stop,-78.6084436125426,35.7798011376148
8651,New Bern Ave at Bertie Dr,Bus Stop,-78.6121228388585,35.7799603335213
8652,New Bern Ave at Raleigh Blvd,Bus Stop,-78.6141967820499,35.7800900939495
8654,E Edenton St at N Tarboro Rd,Bus Stop,-78.6218631906358,35.7805575279499
